"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Curtis R. Bryan, M.D.","VA","Healthcare Provider","2739","09/08/2010","Theft","Laptop","No","\N"
"The Kent Center ","RI","Healthcare Provider","1361","09/10/2010","Theft","Paper/Films","No","\N"
"LabCorp Patient Service Center","NV","Healthcare Provider","507","09/10/2010","Theft","Paper/Films","No","\N"
"Pediatric and Adult Allergy, PC","IA","Healthcare Provider","19222","09/11/2010","Loss","Other Portable Electronic Device","No","\N"
"Ault Chiropractic Center","IN","Healthcare Provider","2000","09/15/2010","Theft","Desktop Computer, Laptop","No","\N"
"County of Los Angeles","CA","Healthcare Provider","33000","09/17/2010","Theft","Paper/Films","No","\N"
"Matthew H. Conrad, M.D., P.A.","KS","Healthcare Provider","1200","09/19/2010","Theft","Laptop, Paper/Films","No","\N"
"CareCore National","SC","Business Associate","1270","09/20/2010","Other","Paper/Films","Yes","\N"
"Counseling and Psychotherapy of Throggs Neck","NY","Healthcare Provider","9000","09/21/2010","Theft","Desktop Computer","No","\N"
"Alaskan AIDS Assistance Association","AK","Business Associate","2000","09/22/2010","Theft","Other, Other Portable Electronic Device","Yes","\N"
"St. Vincent Hospital and Health Care Center, Inc.","IN","Healthcare Provider","1199","09/23/2010","Theft","Laptop","No","\N"
"Oroville Hospital","CA","Business Associate","1474","09/23/2010","Theft","Other, Other Portable Electronic Device","Yes","The covered entity (CE) filed a breach report with OCR after two USB storage devices containing electronic protected health information (ePHI) of 1,474 individuals were lost.  The ePHI included names, dates of birth, and treatment information.  Upon discovery of the breach, the CE notified individuals, OCR and the media.  Additionally, the CE initiated an encryption project to encrypt emails, external hard drives, and related media.  Following OCR's investigation, the CE filed a police report, updated its policies and procedures in an effort to better safeguard ePHI, and encrypted USB devices.
\
\"
"Eden Medical Center","CA","Business Associate","1474","09/23/2010","Theft","Other, Other Portable Electronic Device","Yes","The covered entity (CE) lost two portable electronic storage devices containing the electronic protected health information (ePHI) of 1,474 individuals.  The ePHI included patients' names, dates of birth, and treatment information.  Upon discovery of the breach, the covered entity (CE) notified individuals, HHS, and the media.  Additionally, the CE initiated a project to encrypt emails, external hard drives, and related electronic media.  Following OCR's investigation, the CE filed a police report, updated its policies and procedures in order to better safeguard patients' ePHI, and encrypted portable electronic computer devices."
"NewYork-Presbyterian Hospital and Columbia University Medical Center","NY","Healthcare Provider","6800","09/24/2010","Theft","Network Server","No","Data breach results in $4.8 million HIPAA settlements
\Two health care organizations have agreed to settle charges that they potentially violated the Health Insurance Portability and Accountability Act of 1996 (HIPAA) Privacy and Security Rules by failing to secure thousands of patients' electronic protected health information (ePHI) held on their network. The monetary payments of $4,800,000 include the largest HIPAA settlement to date.
\The U.S. Department of Health and Human Services (HHS) Office for Civil Rights (OCR) initiated its investigation of New York and Presbyterian Hospital (NYP) and Columbia University (CU) following their submission of a joint breach report, dated September 27, 2010, regarding the disclosure of the ePHI of 6,800 individuals, including patient status, vital signs, medications, and laboratory results. 
\NYP and CU are separate covered entities that participate in a joint arrangement in which CU faculty members serve as attending physicians at NYP. The entities generally refer to their affiliation as 'New York Presbyterian Hospital/Columbia University Medical Center.' NYP and CU operate a shared data network and a shared network firewall that is administered by employees of both entities. The shared network links to NYP patient information systems containing ePHI.
\The investigation revealed that the breach was caused when a physician employed by CU who developed applications for both NYP and CU attempted to deactivate a personally-owned computer server on the network containing NYP patient ePHI. Because of a lack of technical safeguards, deactivation of the server resulted in ePHI being accessible on internet search engines. The entities learned of the breach after receiving a complaint by an individual who found the ePHI of the individual's deceased partner, a former patient of NYP, on the internet.
\In addition to the impermissible disclosure of ePHI on the internet, OCR's investigation found that neither NYP nor CU made efforts prior to the breach to assure that the server was secure and that it contained appropriate software protections. Moreover, OCR determined that neither entity had conducted an accurate and thorough risk analysis that identified all systems that access NYP ePHI. As a result, neither entity had developed an adequate risk management plan that addressed the potential threats and hazards to the security of ePHI. Lastly, NYP failed to implement appropriate policies and procedures for authorizing access to its databases and failed to comply with its own policies on information access management.
\'When entities participate in joint compliance arrangements, they share the burden of addressing the risks to protected health information,' said Christina Heide, Acting Deputy Director of Health Information Privacy for OCR. 'Our cases against NYP and CU should remind health care organizations of the need to make data security central to how they manage their information systems.'
\NYP has paid OCR a monetary settlement of $3,300,000 and CU $1,500,000, with both entities agreeing to a substantive corrective action plan, which includes undertaking a risk analysis, developing a risk management plan, revising policies and procedures, training staff, and providing progress reports.
\"
"St. James Hospital and Health Centers","IL","Healthcare Provider","967","09/24/2010","Improper Disposal","Paper/Films","No","\N"
"University of Oklahoma - Tulsa, Neurology Clinic","OK","Healthcare Provider","19200","09/27/2010","Hacking/IT Incident","Desktop Computer","No","\N"
"LORENZO BROWN, MD INC.","CA","Healthcare Provider","928","09/29/2010","Theft","Desktop Computer","No","\N"
"Joseph A. Gagnon d/b/a Goldthwait Associates","MA","Business Associate","11000","10/01/2010","Improper Disposal","Paper/Films","Yes","\N"
"Debra C. Duffy, DDS","TX","Healthcare Provider","4700","10/05/2010","Theft","Laptop, Network Server","No","An unencrypted laptop and network server were stolen during a burglary of the office.The breach affected approximately 4700 individuals.The protected health information involved in the breach included treatment information for pediatric dental patients and social security numbers, insurance identification numbers and driver's license numbers. Following the discovery of the breach, the CE relocated the practice servers, secured the laptops and installed steel doors at the front entrance of the facility. Additionally, the CE notified the affected individuals and local media and retrained staff.  
\"
"Cumberland Gastroenterology, P.S.C.","KY","Healthcare Provider","2200","10/05/2010","Theft","Paper/Films","No","The covered entity's (CE) medical records storage facility was burglarized, resulting in the theft of protected health information (PHI) of 2,207 individuals.  The PHI included names, birth dates, social security numbers, addresses, phone numbers, primary care providers, diagnosis codes, presenting complaints, exam findings, insurance information, dates of visits, services performed, and referring providers.  The CE filed a police report and provided breach notification to affected individuals, HHS, and the media. The CE also conducted an inventory of stolen items and created an accounting of affected individuals. Following the breach, the CE increased physical security, limited the amount of stored PHI, and expedited the adoption of  electronic medical records.  As a result of OCR's investigation the CE executed BA agreements with the storage facility and with a document shredding company.  Additionally, it re-trained workforce members on its revised HIPAA policies and procedures with respect to safeguards for PHI, and placed an accounting of disclosures of PHI in each of the affected individuals' medical records.  OCR obtained assurances that the CE implemented the corrective action listed above.
\
\
\"
"WESTMED Medical Group","NY","Healthcare Provider","578","10/05/2010","Theft","Laptop","No","An unencrypted laptop computer that contained the electronic protected health information (ePHI) of 578 individuals was stolen from the covered entity (CE), WestMed Medical Group.  The ePHI included names, dates of birth and test results.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS and the media.  As a result of OCR's investigation, the CE improved physical security by locking all laptops during the day and storing all laptops in a locked cabinet overnight.  In addition, the CE reconfigured all laptops with strong passwords and implemented a new procedure to save data to a secure file server.  Further, the CE encrypted all laptop hard drives.  The CE also retrained staff on safeguarding ePHI.
\
\"
"Johns Hopkins University Applied Physics Laboratory (JHU/APL) Medical and Dental Insurance Plan","MD","Health Plan","692","10/06/2010","Other","Other","No","Protected health information was attached to an email addressed to 85 employees by a benefits staff member. Within 5 days, all recipients were notified, and the email was deleted.  Approximately 692 individuals were affected by this breach.  The email included names, dates of birth, social security numbers, and marital and disability status.  To prevent a similar breach from happening in the future, the covered entity instituted a policy to encrypt emails containing protected health information before it is sent out from the benefits department.  Following OCR's investigation, the covered entity updated its policies and procedures establishing a new business process to require that all emails sent by the benefits office to 5 or more staff members that includes an attachment be reviewed by another team member to ensure the proper document is attached and took personnel action with the responsible employee. Further, the benefits office will use an encryption specialist to train all benefits office staff in the proper methods of encryption, explore future capability of automated flagging of any electronic communications sent by benefits office staff containing potentially sensitive data such as 9-digit numbers, and obtain additional HIPAA training.
\"
"LoneStar Audiology Group","TX","Healthcare Provider","585","10/08/2010","Theft","Laptop","No","A laptop was stolen from a workforce member's home. Approximately 585 individuals were affected.  The PHI included addresses, dates of birth, diagnosis and conditions, medications and other treatment information. Following the breach, the covered entity encrypted all its laptops. After the initiation of OCR's investigation, the encryption of the laptops was completed.
\"
"Utah Department of Workforce Services","UT","Business Associate","1298","10/13/2010","Other","Desktop Computer, Paper/Films","Yes","\N"
"SW Seattle Orthopaedic and Sports Medicine","WA","Healthcare Provider","9493","10/15/2010","Hacking/IT Incident","Network Server","No","A database web server, containing the electronic protected health information (EPHI) of 9,493 individuals, was breached by an unknown, external person(s) for use as a game server.  Although there was no indication of access to EPHI, the EPHI on the database web server included names, dates of birth, types of x-rays, and dates of x-rays.  Following the breach, the covered entity relocated two servers to its more secure primary data center and removed the Internet access line that resulted in the breach.  Additionally, OCR's investigation resulted in the covered entity improving their administrative safeguards, such as incident response and reporting.  
\"
"University of Arkansas for Medical Sciences","AR","Healthcare Provider","1000","10/18/2010","Theft","Other, Other Portable Electronic Device","No","\N"
"Aspen Dental Care P.C.","CO","Healthcare Provider","2500","10/26/2010","Theft","Other","No","A computer hard drive containing encrypted patient records was stolen from the covered entity's (CE) safe.  The hard drive contained clinical and demographic information of approximately 2,500 patients.  Following the breach, the CE provided additional training to its staff.  OCR obtained assurances that the CE implemented the corrective action listed above.
\
\"
"BlueCross BlueShield of Tennessee, Inc.","TN","Health Plan","1023209","11/01/2010","Theft","Other","No","\N"
"Not applicable","","Business Associate","716","11/02/2010","Loss","Paper/Films","Yes","\N"
"Triple-S Management, Corp.; Triple-S Salud, Inc.; ","PR","Business Associate","475000","11/04/2010","Hacking/IT Incident, Unauthorized Access/Disclosure","Network Server","Yes","\N"
"Aetna, Inc.","CT","Health Plan","2345","11/07/2010","Unauthorized Access/Disclosure","Network Server","No","Aetna notified all possibly affected individuals of the breach, filed a breach report with OCR, commenced an investigation to identify and correct the root cause of the issue; the coding changes that were causing the breach were removed from IPS via Aetna's emergency Change Management procedures to prevent any further exposure while the problem was analyzed; once the specific code that conflicted with its proxy server settings was identified as the root cause of the breach, it was removed. Also, in an effort to mitigate any harm as a result of the breach, Aetna offered all affected individuals one year of free credit monitoring, and the notification letters included a toll-free number which was established specifically to answer questions related to this incident. 
\"
"Sta-home Health & Hospice","MS","Healthcare Provider","1104","11/08/2010","Theft","Desktop Computer","No","\N"
"Medical Card System/MCS-HMO/MCS Advantage/MCS Life","PR","Business Associate","115000","11/09/2010","Unauthorized Access/Disclosure","Other, Other Portable Electronic Device","Yes","\N"
"VNA of Southeastern Ct.","CT","Healthcare Provider","12000","11/11/2010","Theft","Laptop","No","\N"
"Prime Home Care, LLC","NE","Healthcare Provider","1550","11/12/2010","Theft","Desktop Computer","No","\N"
"Manor Care Indy (South), LLC.","IN","Healthcare Provider","845","11/12/2010","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Visiting Nurse Service Association of Schenectady County","NY","Healthcare Provider","535","11/12/2010","Theft","Laptop","No","An encrypted laptop computer that contained the electronic protected health information (ePHI) of 535 individuals was stolen from the covered entity (CE).  The ePHI included names, addresses, and dates of birth.  Upon discovery of the breach, the CE filed a police report to recover the stolen item.  Following OCR's investigation, the CE disabled the involved staff member's account, verbally counseled the staff member, and retrained the staff member.  The CE also adopted and implemented security policies and procedures for laptops/tablet devices and provided training to all staff."
"Henry Ford Hospital","MI","Healthcare Provider","3700","11/15/2010","Theft","Laptop","No","\N"
"Robert Wheatley, DDS, PC","MO","Healthcare Provider","1400","11/15/2010","Theft","Laptop","No","\N"
"Holy Cross Hospital","FL","Healthcare Provider","1500","11/16/2010","Theft","Paper/Films","No","A covered entity's (CE) employee impermissibly obtained copies of patient data sheets containing protected health information (PHI) and sold the PHI to a third party.  The PHI included names, addresses, dates of birth, social security numbers, insurance information, and diagnoses affecting 38 individuals; however, the initial investigation addressed a report of approximately 1,500 affected individuals.  The CE provided breach notification to 44,000 individuals (including those who were potentially affected), HHS and the media.  In addition, free credit monitoring was offered.  Following the breach, the CE cooperated with federal authorities, law enforcement, and the state health administration agency, and provided a report to a national accreditation organization.  As a result of this incident, the CE convened a high level work group to oversee privacy and security issues and hired an expert forensic investigator to perform a risk assessment.  The CE updated its privacy and security policies and procedures, developed a plan to adopt electronic health records and initiated a continuous review process including random HIPAA compliance audits.  The CE also expanded its HIPAA training program for employees.  OCR obtained written assurances that the CE implemented the corrective action listed above."
"Professional Transcription Company, Inc.","NY","Business Associate","1744","11/24/2010","Theft","Network Server","Yes","The covered entity's (CE) business associate (BA), Professional Transcription Company, posted the electronic protected health information (ePHI) of 1,744 individuals on a website portal of the BA.  The ePHI included names, dates of birth, diagnosis, and other clinical information.  Upon discovery of the breach, the BA shut down the applicable server.  The CE, Newark Beth Israel Medical Center, provided breach notification to HHS, the media, and affected individuals and also posted substitute notice on its website.  As a result of OCR's investigation, the BA located the ePHI online and contacted Google to block files that contained ePHI.  In addition, the BA retrained all employees regarding its security policies.  The CE terminated its BA agreement with the BA.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI."
"Memorial Hospital of Gardena","CA","Healthcare Provider","771","11/25/2010","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Oklahoma City VA Medical Center","OK","Healthcare Provider","1950","11/29/2010","Improper Disposal, Loss, Theft","Paper/Films","No","\N"
"Kings County Hospital Center","NY","Healthcare Provider","542","11/30/2010","Theft","Desktop Computer","No","An unencrypted desktop computer that contained the electronic protected health information (ePHI) of 542 individuals was stolen from the covered entity (CE), Kings County Hospital Center.  The ePHI included names, medical record numbers, admission and treatment dates, diagnostic treatment, pathology and/or medication information, telephone numbers and ages.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  As a result of OCR's investigation, the CE installed an encryption system for all internal and external computers and laptops.  The CE implemented a new policy that prohibits staff from storing ePHI on their local computer hard drives or Windows desktop."
"University of Tennessee Medical Center","TN","Healthcare Provider","8200","11/30/2010","Improper Disposal","Paper/Films","No","\N"
"Albert Einstein Healthcare Network","PA","Healthcare Provider","613","11/30/2010","Theft","Desktop Computer","No","\N"
"H.E.L.P. Financial Corporation","MI","Business Associate","9475","12/03/2010","Unauthorized Access/Disclosure","Paper/Films","Yes","A programming error in a business associate's IT system caused the PHI of patients to be printed on letters sent to other patients. The printing error affected approximately 9475 individuals.The protected health information involved in the breach included patient names, medical record numbers and account balances. Following the discovery of the breach, the BA corrected the programming error and implemented additional quality checks. Additionally, the BA notified the affected individuals and the CE notified the local media.  
\"
"zarzamora family dental care","TX","Healthcare Provider","800","12/07/2010","Theft","Desktop Computer","No","\N"
"Virginia Department of Medical Assistance Services (VA-DMAS)","VA","Health Plan","697586","03/12/2015","Hacking/IT Incident","Network Server","No",""
"Anthem, Inc. Affiliated Covered Entity","IN","Health Plan","78800000","03/13/2015","Hacking/IT Incident","Network Server","No",""
"EyeCare of Bartlesville","OK","Healthcare Provider","4000","03/13/2015","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Sacred Heart Health System, Inc.","FL","Healthcare Provider","14177","03/16/2015","Hacking/IT Incident","Email","No","Sacred Heart Health System, Inc.’s business associate (BA), St. Vincent Health, Inc., a third party billing vendor, was subject to an email phishing attack resulting in the exposure of protected health information for 14,177 individuals.  This case has been consolidated with an investigation of the BA."
"Premera Blue Cross","WA","Health Plan","11000000","03/17/2015","Hacking/IT Incident","Network Server","No",""
"Blue Cross Blue Shield of Michigan ","MI","Health Plan","3903","03/17/2015","Theft","Paper/Films","No",""
"Advantage Consolidated LLC","OR","Healthcare Provider","151626","03/18/2015","Hacking/IT Incident","Other","No",""
"Career Education Corporation","IL","Health Plan","2743","03/19/2015","Hacking/IT Incident","Network Server","No",""
"Kane Hall Barry Neurology","TX","Healthcare Provider","600","03/19/2015","Theft","Laptop","No",""
"Community Health Network","IN","Healthcare Provider","650","03/20/2015","Loss","Paper/Films","No",""
"Florida Hospital","FL","Healthcare Provider","8700","03/20/2015","Unauthorized Access/Disclosure","Other","No","Law enforcement discovered paper records belonging to the covered entity (CE), Florida Hospital, during the course of an investigation.  An internal investigation revealed that two employees had been accessing and printing records in excess of their job duties.  The protected health information (PHI) involved in the breach included demographic data (including social security numbers), clinical information, and health insurance information affecting 8,816 individuals. The CE provided breach notification to HHS, affected individuals, and the media, and posted notice on its website. In response to the breach, the CE retrained its staff and began the process of masking social security numbers and eliminating the need to print facesheets.  OCR obtained assurances that the CE implemented the corrective actions listed above.  The CE also terminated the employees involved in the breach."
"Mount Sinai Medical Center","FL","Healthcare Provider","1406","03/20/2015","Unauthorized Access/Disclosure","Paper/Films","No","The covered entity (CE), Mt. Sinai, discovered that an employee was printing paper face sheets in excess of her job duties for an illicit purpose.  The face sheets contained the demographic and clinical information of 1,406 individuals.  The CE provided breach notification to HHS, affected individuals, and the media.  In response to the breach, the CE altered its policies to limit the users allowed to print face sheets. In addition, the CE retrained its workforce and disseminated educational material.  OCR obtained assurances that the CE implemented the corrective actions listed.  The CE also terminated the employment of the involved employee.  "
"Life Care Center of Attleboro","MA","Healthcare Provider","2473","03/20/2015","Loss","Paper/Films","No",""
"AT&T Group Health Plan","TX","Health Plan","50000","03/23/2015","Hacking/IT Incident","Network Server","No",""
"Freelancers Insurance Company","NY","Health Plan","43068","03/24/2015","Hacking/IT Incident","Network Server","No",""
"Pediatric Associates","FL","Healthcare Provider","627","03/24/2015","Loss","Paper/Films","No","The covered entity (CE), Pediatric Associates, discovered that a binder containing paper logs of patient record releases was missing on January 24, 2015.  After a search and investigation, the CE determined that most likely the binder was unintentionally discarded. The types of protected health information (PHI) contained in the logs included patients' names, internal chart numbers, recipients of releases, and explanations for the record release (i.e. “parent requested”).  The CE provided breach notification to HHS, affected individuals, and the media. In response to the breach, the CE changed its procedures to require that record releases be logged electronically.  The CE archived or shredded all paper record release logs.  OCR obtained assurances that the CE implemented the corrective actions listed above."
"McDermott Will & Emery LLP is the plan sponsor for the McDermott medical plan","IL","Health Plan","880","03/24/2015","Hacking/IT Incident","Network Server","No",""
"7-Eleven, Inc. Comprehensive Welfare Benefits Plan No. 525","TX","Health Plan","1688","03/25/2015","Hacking/IT Incident","Network Server","No",""
"New","FL","Health Plan","500","03/27/2015","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Network Server","No","Entity is not covered by HIPAA. "
"Project Vida Health Center","TX","Healthcare Provider","7700","03/27/2015","Theft","Network Server","No",""
"Triple S Advantage, Inc","","Health Plan","1458","03/31/2015","Unauthorized Access/Disclosure","Other","No",""
"VA Eastern Colorado Health Care System(ECHCS)","CO","Healthcare Provider","508","04/02/2015","Unauthorized Access/Disclosure","Paper/Films","No",""
"Cigna-HealthSpring","TN","Health Plan","862","04/02/2015","Unauthorized Access/Disclosure","Paper/Films","No","The covered entity (CE), Cigna-HealthSpring, discovered that on January 30, 2015, an employee accidently mislabeled envelopes containing health risk assessment surveys which were mailed to 862 patients. The CE provided breach notification to HHS, affected individuals, and the media. In response to the breach, the CE created new procedures for mailings and provided training to staff members.  OCR obtained assurances that the CE implemented the corrective actions listed above."
"Schaeffler Group USA","SC","Health Plan","550","04/02/2015","Hacking/IT Incident","Network Server","No",""
"PIH Health Hospital - Whittier","CA","Healthcare Provider","826","04/02/2015","Theft","Paper/Films","No","Documents containing the protected health information (PHI) of 826 PIH Health Hospital patients were stolen from a resident doctor’s private vehicle. The PHI involved in the breach included names, dates of birth, diagnoses, primary providers, hospital unist, and assigned nurses names.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media.  In response to the breach, the CE sanctioned and retrained the doctor responsible for the breach, trained all residents, developed a new policy prohibiting residents from taking PHI off-campus, and developed signage reminding residents of the new policy.  OCR obtained written assurances of breach notifications provided and corrective actions taken."
"CDC/NIOSH World Trade Center Health Program (WTCHP)","GA","Health Plan","958","04/02/2015","Unauthorized Access/Disclosure","Paper/Films","No","On February 5, 2015, a remittance advice report containing the health services and financial information of approximately 958 individuals was ripped open while at the U.S. postal office, improperly disclosing the individuals’ protected health information (PHI), including patients’ names, member numbers, services rendered, dates of service, and provider information.  The postal office rewrapped the remaining pages from the package, and delivered them to a business associate (BA) of the covered entity (CE), World Trade Center Health Program, to which they were addressed.  The CE provided breach notification to HHS and affected individuals, but no media notice was required due to the geographic locations of the affected individuals.  In response to the breach, the CE revised its HIPAA training program.  Additionally, National Government Services, the BA that sent the mailing on behalf of the CE, revised its mailing processes and procedures by using only non-tear envelopes or boxes for future mailings. OCR obtained assurances that the CE implemented the correction actions listed above."
"City of Philadelphia Fire Department Emergency Medical Services Unit","PA","Healthcare Provider","81463","04/02/2015","Unauthorized Access/Disclosure","Desktop Computer, Paper/Films","No",""
"Western Montana Clinic","MT","Healthcare Provider","7038","04/02/2015","Hacking/IT Incident","Other","No",""
"Tulare County Health & Human Services Agency","CA","Healthcare Provider","845","04/02/2015","Unauthorized Access/Disclosure","Email","No",""
"Children's Heart Center","NV","Healthcare Provider","8791","04/03/2015","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Health Plan sponsored by Covenant Ministries of Benevolance","IL","Health Plan","782","04/03/2015","Hacking/IT Incident","Network Server","No",""
"SUPERVALU Group Health Plan","MN","Health Plan","10946","04/03/2015","Hacking/IT Incident","Network Server","No",""
"Elizabeth Kerner, M.D.","TX","Healthcare Provider","873","04/03/2015","Unauthorized Access/Disclosure","Email","No","The covered entity's (CE) staff member sent an email that contained a list of names and email addresses for 873 patients to an unintended recipient.  The recipient informed the CE that he had received the information. The types of protected health information (PHI) involved in the breach included patients’ names and email addresses.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the incident, the intended recipient, a web designer, changed his email address.  The CE implemented an encryption policy and re-trained workforce members.  The CE provided OCR with a copy of its encryption policy and OCR determined that it complied with the Security Rule."
"Allina Health","MN","Healthcare Provider","838","04/06/2015","Unauthorized Access/Disclosure","Paper/Films","No",""
"ADT LLC Group Health & Welfare Plan","FL","Health Plan","3074","04/07/2015","Hacking/IT Incident","Network Server","No",""
"International Union of Operating Engineers Local Unions 181, 320 & TVA Health and Welfare Trust Fund","KY","Health Plan","5440","04/09/2015","Hacking/IT Incident","Network Server","No",""
"Denton County Health Department","TX","Healthcare Provider","874","04/09/2015","Unauthorized Access/Disclosure","Other Portable Electronic Device","No",""
"St.Vincent Medical Group, Inc.","IN","Healthcare Provider","756","04/10/2015","Hacking/IT Incident","Email","No",""
"New York State Office of Mental Health Nathan S. Kline Institute for Psychiatric Research","NY","Healthcare Provider","563","04/10/2015","Loss","Laptop","No",""
"Suburban Lung Associates","IL","Healthcare Provider","2984","04/13/2015","Unauthorized Access/Disclosure","Paper/Films","No",""
"Concordia Plan Services on behalf of the Concordia Health Plan","MO","Health Plan","12500","04/16/2015","Hacking/IT Incident","Network Server","No",""
"American Sleep Medicine","CA","Healthcare Provider","1787","04/16/2015","Theft","Other","No",""
"Jersey City Medical Center","NJ","Healthcare Provider","1447","04/17/2015","Unauthorized Access/Disclosure","Email","No",""
"Puerto Rico Department of Heatlh - Medicaid Program","","Health Plan","500","04/22/2015","Theft","Desktop Computer","No",""
"CompuNet Clinical Laboratories","OH","Healthcare Provider","2584","04/23/2015","Loss","Paper/Films","No","On March 17, 2015, the covered entity (CE) learned that a box containing health insurance claim forms was damaged by a Federal Express (FedEx) hub in Memphis, Tennessee. The protected health information (PHI) involved in the breach included the names, addresses, dates of birth, genders, diagnosis codes, procedure codes, insurance identification numbers, and some social security numbers of 2,584 individuals.  Through retained legal counsel the CE investigated the incident to determine what and how many forms were missing, and to retrieve as many missing forms as possible.  The CE provided breach notification to HHS, affected individuals, and the media, and offered one year of credit protection to affected individuals.  Additionally, the CE decreased the size of batch mailings to limit the potential size of a data breach associated with a lost or damaged box.   OCR obtained assurances that the corrective actions were taken."
"Saint Agnes Health Care, Inc.","MD","Healthcare Provider","24967","04/24/2015","Hacking/IT Incident","Email","No",""
"Seton Family of Hospitals","TX","Healthcare Provider","39000","04/24/2015","Hacking/IT Incident","Email","No",""
"Wellmont Health System","TN","Healthcare Provider","1726","04/24/2015","Improper Disposal","Other, Paper/Films","No",""
"Community Mercy Health Partners","OH","Healthcare Provider","2000","04/27/2015","Unauthorized Access/Disclosure","Paper/Films","No","An individual was accidently sent the invoices of numerous patients of the covered entity (CE) due to human error after guarantor information on an institutional account was inadvertently changed to an individual patient.  The protected health information (PHI) involved in the breach included the demographic, financial, and clinical information of 1,999 individuals. The CE provided breach notification to HHS, affected individuals, and the media.  To prevent a future similar occurrence, the covered entity re-educated its patient access/registration staff and began revising processes for institutional payers.  OCR reviewed the CE’s relevant HIPAA policies and procedures and obtained assurances that the CE implemented the corrective actions listed above.

"
"CEMEX, Inc.","TX","Health Plan","880","04/27/2015","Hacking/IT Incident","Network Server","No",""
"Clinical Reference Laboratory, Inc.","KS","Healthcare Provider","864","04/28/2015","Loss","Paper/Films","No",""
"University of Illinois at Chicago","IL","Healthcare Provider","3000","04/28/2015","Theft","Laptop","No","A physician’s assigned laptop computer containing the electronic protected health information (ePHI) of approximately 3,000 individuals was stolen. The type of ePHI involved in the breach included diagnoses and conditions of the individuals. The covered entity (CE) provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE updated relevant HIPAA policies, including encryption, to ensure the safeguarding of ePHI and sanctioned the physician involved.  OCR obtained assurances that the CE implemented the corrective actions listed above.  The CE also notified the deans and directors of all the CE’s healthcare components of the corrective actions taken in response to this incident."
"Consolidated Tribal Health Project, Inc. ","CA","Healthcare Provider","4885","04/28/2015","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other Portable Electronic Device","No",""
"Bellevue Hospital Center","NY","Healthcare Provider","3334","04/28/2015","Unauthorized Access/Disclosure","Email","No",""
"Jacobi Medical Center","NY","Healthcare Provider","90060","04/28/2015","Unauthorized Access/Disclosure","Email","No",""
"County of Los Angeles ","CA","Healthcare Provider","880","04/29/2015","Theft","Paper/Films","No",""
"Partners HealthCare System, Inc.","MA","Healthcare Provider","3321","05/01/2015","Hacking/IT Incident","Network Server","No",""
"Walgreen Co.","IL","Healthcare Provider","1138","05/01/2015","Loss","Paper/Films","No",""
"Ventura County Health Care Agency","CA","Healthcare Provider","1339","05/06/2015","Loss","Paper/Films","No",""
"Unity Recovery Group, Inc.,Starting Point Detox LLC, Lakeside Treatment Center LLC, Changing Tides Transitional Living LLC, Unity Recovery Center, Inc","FL","Healthcare Provider","1000","05/11/2015","Unauthorized Access/Disclosure","Email, Network Server, Other Portable Electronic Device","No",""
"UPMC","PA","Healthcare Provider","2259","05/15/2015","Theft","Other","No","A business associate (BA) employee disclosed the protected health information (PHI) of approximately 2,259 of the covered entity’s (CE) patients to outside parties.  The PHI involved in the breach included names, dates of birth, and social security numbers.  Following the breach, the CE terminated its relationship with the BA.  OCR reviewed the CE’s risk analysis to ensure compliance with the Security Rule.  
 
"
"Medical Management, LLC (MML)","NC","Business Associate","20512","05/15/2015","Theft","Other","Yes",""
"Duke LifePoint Conemaugh Memorial Medical Center","PA","Healthcare Provider","1551","05/15/2015","Theft","Desktop Computer","No","An employee of the covered entity’s (CE) business associate (BA), Medical Management, LLC (“MML”), disclosed the demographic information of 1,551 of the CE’s patients to outside parties.  The protected health information (PHI) involved in the breach included names, dates of birth, and social security numbers.  Following the breach, the CE assisted the BA in responding to the breach and notifying affected individuals.  Additionally, OCR reviewed the CE’s risk analysis to ensure compliance with the Security Rule"
"The MetroHealth System","OH","Healthcare Provider","981","05/15/2015","Hacking/IT Incident","Desktop Computer","No",""
"Aflac","GA","Health Plan","6166","05/15/2015","Unauthorized Access/Disclosure","Paper/Films","No",""
"Associated Dentists","MN","Healthcare Provider","4725","05/18/2015","Theft","Laptop","No",""
"Alexian Brothers Medical Center","IL","Healthcare Provider","632","05/19/2015","Unauthorized Access/Disclosure","Desktop Computer","No",""
